學校代碼,學校名稱,縣市別,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
0144,國立臺灣戲曲學院,30 臺北市,3284,8374,2501,3682,11030,13354,10609,41102,22739,5636,0,73,11,7105,47428,12360,220,812,9912,25427,11,92,9
0221,國立臺南護理專科學校,21 臺南市,4499,7917,1902,6328,22135,14583,9831,21114,4550,6615,4929,68,22,28731,12022,7628,155,1943,4412,259088,3,134,21
0222,國立臺東專科學校,14 臺東縣,4068,6456,2048,8379,27333,10730,6670,19587,8090,3852,82,13,60,17406,8630,1480,320,1401,3894,17994,4,97,0
1001,東海大學,19 臺中市,108239,55297,26794,23976,58591,141437,106184,139447,41877,289090,123459,217,5,89636,1032951,52401,1323,33433,87988,2646550,8,785,151
1002,輔仁大學,01 新北市,75401,45923,30663,29087,91979,151338,80845,134977,33586,416031,150997,519,3,65535,2922892,55388,2224,55249,136802,5903326,8,849,339
1003,東吳大學,30 臺北市,91111,29729,16173,15351,32896,149880,79244,123855,57302,329832,0,307,0,32920,1399916,44117,2229,51256,127906,3315851,10,661,128
1004,中原大學,03 桃園市,14976,35797,27315,58159,105163,114310,35573,106082,44228,244873,0,298,38,112740,2182628,36272,1324,46310,118399,4079912,7,799,97
1005,淡江大學,01 新北市,72381,50733,16558,52321,106986,183014,109258,187982,39866,507675,0,507,28,71118,2728666,70793,3065,49420,95588,438249,16,735,280
1006,中國文化大學,30 臺北市,130061,60873,24178,63539,103843,182963,138732,175036,77701,481664,0,400,0,77629,6848679,61287,1795,37567,141639,1529996,11,133,65
1007,逢甲大學,19 臺中市,44406,34144,13145,46553,138209,133674,64991,106587,34146,175057,92169,223,17,50037,1485038,45229,1159,41500,98980,2003994,8,749,30
1008,靜宜大學,06 臺中市,73170,40592,20771,37292,74059,117667,63126,158633,39902,228237,0,358,10,39774,892493,46338,2299,30061,80033,1930063,18,3185,1851
1009,長庚大學,03 桃園市,16145,15659,2492,18535,59787,44237,17802,40753,13125,183244,0,234,5,132431,316874,31614,1355,26118,75033,3293402,14,168,36
1010,元智大學,03 桃園市,36845,19729,9842,27791,46631,56503,31970,101077,29746,96067,32695,136,0,62305,427776,37426,1000,19918,49663,876601,0,405,180
1011,中華大學,18 新竹市,13924,14115,5322,27380,50147,40717,15597,42912,20338,78261,0,118,0,39731,276103,14059,895,7847,23632,719494,6,336,0
1012,大葉大學,07 彰化縣,37189,19317,7469,34901,73636,59230,22048,56437,22980,79678,42596,242,3,48195,515068,27993,1118,7107,22423,393822,10,302,60
1013,華梵大學,01 新北市,48856,17952,22101,11299,21362,24774,18367,32310,18320,54496,37320,51,19,17271,100727,6929,574,3013,10765,104059,0,466,14
